"start_text","end","text","start_sub","stop","speaker"
21000,33000,"me here for you on your TV they are the movements they are the movements so come with me give me your hand",13200,21700,"SPEAKER_09"
33000,43000,"I'll take you up to a movement land you can fly just like a bird sing that song ever there with the movements",30100,43000,"SPEAKER_09"
43000,58000,"there were the movements there were the movements there were the movements there were the movements",30100,43000,"SPEAKER_09"
73000,102920,"the sun is shining and movement valley is enjoying its usual",71200,73900,"SPEAKER_00"
102920,118920,"peace and tranquility wait a minute who's this wait for me moment",100700,104500,"SPEAKER_01"
118920,127920,"are they ready are what ready the pancakes not yet this hot goblin wood doesn't seem to burn very well",112100,113700,"SPEAKER_04"
127920,134920,"are they cooking they won't be long have some lemonade while you're waiting mama are the pancakes ready yet",123500,128100,"SPEAKER_05"
134920,143920,"oh well everything seems normal in the movement house I'm a dumbo I'm a no good me good boop nini",132900,134400,"SPEAKER_04"
143920,150920,"no you're not snork you're very clever I'm a failure of flap of frightful fraud and a misfit",140800,150700,"SPEAKER_11"
150920,158920,"but your land ship was a success wasn't it kid stuff look if you can make a ship that runs on land",140800,150700,"SPEAKER_11"
158920,166920,"then I'm sure you can make one that flies I believe in you fat lot of good that does me snort and maiden",156500,162900,"SPEAKER_04"
166920,175920,"you know last night I thought I've done it a fly ship then I looked at it again no good no good",163200,166500,"SPEAKER_12"
175920,182920,"it was all wrong wouldn't couldn't fly at all oh how could someone so intelligent be such an idiot",171100,184900,"SPEAKER_12"
182920,191920,"oh dear oh dear well they're ready go and tell the others little my all right",171100,184900,"SPEAKER_12"
191920,200920,"movement mama where's movement and snork maiden snork maiden's ball and again come on snork maiden cheer up",191500,192900,"SPEAKER_04"
200920,205920,"I'm sure snork will get over it inventors always feel down in the dumps when something doesn't work",199700,206700,"SPEAKER_03"
205920,213920,"this moment Papa do you think he invents stories doesn't he movement well there was really",199700,206700,"SPEAKER_03"
213920,218920,"snork maiden do you want some pancakes oh yes please movement mama",213000,213300,"SPEAKER_06"
218920,223920,"movement go and get papa I have a feeling his writing has got stuck again",214200,223600,"SPEAKER_06"
223920,230920,"okay mama now what's the matter snork maiden",223800,224700,"SPEAKER_06"
230920,236920,"the sun returned to the eastern sky when morning came and everything started to get lighter and",226400,226900,"SPEAKER_00"
236920,245920,"loud dear everybody knows that even the stupidest guitar really I have absolutely no literary",232200,242100,"SPEAKER_08"
245920,251920,"I'm an ignorant son a literate dilettant nor an illiterate idiot it's high time I gave up writing",243700,252900,"SPEAKER_08"
251920,262920,"oh yes papa yeah what is it moment mama said to tell you the pancakes are ready",243700,252900,"SPEAKER_08"
262920,270920,"well I can't stop now I'm being creative I'll eat later oh really yes anything else",260100,263200,"SPEAKER_03"
270920,275920,"yeah no I thought you said something",269200,270400,"SPEAKER_08"
281920,285920,"moment wait I'm coming",272200,274300,"SPEAKER_03"
290920,295920,"that was really good moment mama I'm going out I'm coming",283400,283500,"SPEAKER_07"
295920,302920,"no you can't snuffkin and I are going on an adventure and it could be dangerous",295200,296100,"SPEAKER_03"
306920,312920,"hi snuffkin hello movement didn't think you were coming sorry I'm late what's that",296800,301300,"SPEAKER_03"
312920,319920,"a leaf boat look it sails on the river just like a real one",310200,313000,"SPEAKER_14"
319920,324920,"I bet it goes all the way down to the sea and maybe even to some foreign lands",315200,317000,"SPEAKER_14"
324920,330920,"gosh snuffkin I'd like to do that one day let's go then shall we little my wanted to come",320300,325000,"SPEAKER_14"
330920,337920,"but I told you it was too dangerous hmm perhaps it wasn't the best thing to say look",329500,333000,"SPEAKER_03"
337920,363920,"I'm not climbing up there well I am wouldn't you like to keep me company instead look",337300,337500,"SPEAKER_03"
363920,368720,"there's a cave just a little bit further along this path why don't you two girls wait for a",363800,366900,"SPEAKER_14"
368720,375560,"sec we won't be long but if you can walk to it why on earth climb to it difficult for a girl to",367200,370300,"SPEAKER_14"
375560,380920,"understand well I think boys are difficult to understand we're not sure we can reach it from above",373900,376300,"SPEAKER_14"
380920,388080,"well we'll soon find out are you coming with a sniff oh I think I'll guard the rear protect the",379400,381400,"SPEAKER_14"
388080,396080,"cave from below oh yeah well someone has to look after the girls someone responsible",385400,389800,"SPEAKER_02"
396080,422080,"oh my goodness it's dark in there let's go in then I don't like the look of it we'd better",392300,396500,"SPEAKER_02"
422080,428480,"stay out here you never know who might live in there don't be silly no one lives in there that's",419700,425600,"SPEAKER_02"
428480,438320,"what I don't like yes exactly a place with no one living in it is really scary I think we must be",428300,432700,"SPEAKER_02"
438320,445000,"right above the cave here maybe I can't find a hole though let's look a bit more over that way moving",437400,439900,"SPEAKER_03"
445000,455560,"wow I've never seen a shell like this before look at that one they must be worth a fortune come",443300,445100,"SPEAKER_14"
455560,465240,"over here and look little mine where's little my snorke made and she went into the cave sniff oh no she",452100,457500,"SPEAKER_02"
465240,476200,"can't do that it might be dangerous little my little my come out no you come in scared he can't you",459600,467400,"SPEAKER_02"
476200,483560,"can't just go in like that you can so tell me how would you go in then mr. know it all stay where you",473500,478600,"SPEAKER_04"
483560,492360,"are we'll rescue you uh you're coming too aren't you snorke maiden you can't stay here alone I suppose so",483000,485500,"SPEAKER_02"
492840,507000,"let's go shall I hold your hand in case you get frightened little my where are you stop it please",491200,493900,"SPEAKER_02"
507000,513000,"you're frightening snorke maiden oh really I thought I was frightening you your voice is so shaky",506000,516400,"SPEAKER_04"
513000,521800,"oh wait I sound normally hey be quiet no I can hear something",509700,510100,"SPEAKER_02"
524040,528840,"me too perhaps it's the wind no snorke maiden it sounds like someone moaning",522600,523100,"SPEAKER_04"
530280,534040,"you can't scare me like that no one lives here who want to live here anyway it's dark and cold",530000,534400,"SPEAKER_02"
535640,540840,"it's moment and snuffkin they've climbed out and we can hear their voices in the distance",530000,534400,"SPEAKER_02"
540840,548360,"so we needn't worry why would they be moaning no it's not them I'm gonna go and investigate",535700,542000,"SPEAKER_02"
553400,556760,"don't little my please please stop it",546500,548800,"SPEAKER_04"
557080,558760,"oh",553500,557900,"SPEAKER_02"
565160,575080,"pull hard movement will this do right who's going first me okay but please be careful I will",559100,559300,"SPEAKER_02"
587080,592680,"oh take it easy movement there's no hurry",574400,575200,"SPEAKER_03"
599640,602920,"hey are you all right movement yes of course",590100,593000,"SPEAKER_14"
617720,619720,"oh",605000,605400,"SPEAKER_14"
626200,633800,"movement what's happened talk to me movement are you all right oh I don't know I think so",626200,626800,"SPEAKER_14"
633800,639240,"my bottom's a little bit sore though I'm sure I heard somebody scream just now well the",631000,635800,"SPEAKER_03"
639240,645880,"hamilin was down here having a nap the hamilin if this is another of your games movement I don't like",638600,641200,"SPEAKER_03"
645880,650920,"Mr. Hamilin we were climbing down from the top we didn't know you were asleep that's not quite right",645700,646100,"SPEAKER_03"
650920,656600,"I wasn't asleep I wasn't at all comfortable you know well what were you doing here then well",648000,655900,"SPEAKER_13"
656600,663080,"to tell you the truth I really haven't been quite myself lately you haven't lost any more rare",656300,660300,"SPEAKER_13"
663080,670760,"stabs have you Mr. Hamilin on the contrary movement I have them all even the rarest every single one",661300,664700,"SPEAKER_03"
670760,678840,"then what's wrong that's good isn't it I mean my collection is complete I know one in the",664900,671400,"SPEAKER_13"
678840,685240,"world has a better stamp collection than you have Mr. Hamilin no of course not mine is perfect there",677900,682500,"SPEAKER_03"
685240,691560,"isn't a stamp I haven't got rare ones old ones misprinted ones I have them all I still don't",682800,699600,"SPEAKER_13"
691560,697720,"understand there's no challenge nothing to search for you're too young and you don't collect stamps",682800,699600,"SPEAKER_13"
697720,706200,"oh dear me dear me I'm beginning to understand he's not a collector anymore he's got all the stamps",682800,699600,"SPEAKER_13"
706200,713000,"he could ever want that's the trouble it's not half as much fun that's why you're sad isn't it Mr.",703800,710200,"SPEAKER_14"
713000,723000,"Hamilin yes it is no fun no fun at all now I understand I can see why you're upset and me falling",711500,713600,"SPEAKER_14"
723000,731400,"on top of you like that didn't really help did it not exactly moment look who was taking a",719100,725500,"SPEAKER_03"
731400,738680,"nap in the cave oh it's you Mr. Hamilin so it must have been his snoring that we heard what a noise",730200,732600,"SPEAKER_03"
738680,745320,"he was making I'd never ever snore you certainly do",733000,739600,"SPEAKER_04"
749160,762360,"Robbys look if you promise not to tell anyone I'll take you to see something very special what is it",749100,755700,"SPEAKER_13"
762360,782200,"I think it could be repaired of course it could easy but you know you can't always tell the keel",755800,756400,"SPEAKER_03"
782200,788280,"doesn't look too good yes we could take it out to see a no time the sales got holes in it hey I",780100,783200,"SPEAKER_14"
788280,796760,"can't find any owners you can paddle all steer look out friends it's going over",787600,788700,"SPEAKER_03"
803400,806200,"hey hang on everybody",798900,8e+05,"SPEAKER_07"
806520,818440,"I've lost my confidence and it makes me feel very unhappy well it can happen to anyone you know",805300,806400,"SPEAKER_14"
818440,826120,"even to you well not much of course lucky you I just don't know what to do how can I get it back",816300,821700,"SPEAKER_08"
826200,833240,"there must be a way it's hard to say everybody's different but with me it just happens",824800,824800,"SPEAKER_08"
826200,833240,"there must be a way it's hard to say everybody's different but with me it just happens",824800,827000,"SPEAKER_12"
837560,843320,"I don't think I'll ever invent anything again perhaps I'll have a break from my memoirs too",834000,834000,"SPEAKER_07"
845160,850440,"tea time oh dear what's the matter with you too you look a bit down in the dance you know I might",840500,843700,"SPEAKER_08"
850440,866120,"have been a bit overconfident me too I think there's no need to yell we can hear you watch",845200,851000,"SPEAKER_05"
866120,873480,"the matter sniff we found a boat on the beach coming have a look a shipwreck washed up on the",863300,867400,"SPEAKER_08"
873480,880680,"shore it's not a wreck and it's got a white sail oh we're going to repair it and then it'll be ours",872000,874300,"SPEAKER_08"
881800,886840,"all right I'm coming come on snort let's take a look at this boat it could be just the thing",878100,880900,"SPEAKER_02"
886840,893160,"to cheer us both up so it's got a sail a white sail you say that could be extremely interesting",881900,889200,"SPEAKER_08"
893160,904680,"hmm it's a sturdy little craft is nicely built well designed she's abandoned so does that we can keep her",889700,889700,"SPEAKER_08"
893160,904680,"hmm it's a sturdy little craft is nicely built well designed she's abandoned so does that we can keep her",889700,893300,"SPEAKER_12"
910200,915960,"well it seems to be in pretty good condition except for the hole in the bottom you know maybe",902200,904900,"SPEAKER_03"
915960,922200,"that's why she was abandoned here you could be right stuff can finders keepers you guys of course it",915200,917800,"SPEAKER_14"
922200,927160,"makes it our boat you'd have to wait to see if anyone claims it first little mine what shall we do",920100,923300,"SPEAKER_04"
927160,934680,"then papa well first things first we must repair the hole and then tire up securely in case there's a",926600,928000,"SPEAKER_04"
934680,944840,"storm absolutely then if the owner comes we are to give her back to him mine you might know she's here",928600,935700,"SPEAKER_08"
945480,952600,"so what are we going to do when we've repaired her oh it's bad for boats not to be yours don't we",942600,945000,"SPEAKER_08"
952600,964200,"could sail the seven seas I'd be happy just to explore around here don't worry snort maiden if we",949700,954600,"SPEAKER_08"
964200,972120,"get big waves we can sail between them isn't that right moment papa well in a way now come on let's",962600,967900,"SPEAKER_02"
972120,980680,"get to work how about you snort will you help us yes of course can I do anything for you moment papa",968900,973800,"SPEAKER_08"
980680,985960,"yes if you'd like to Mr. Himmelon well I'm afraid I'm not much of a builder but if there is",974000,990400,"SPEAKER_08"
985960,993800,"something I could do well let's get her out of the water first shall we and we'll need some",974000,990400,"SPEAKER_08"
993800,1002280,"big logs to go under her I think ten should be enough I'll be so let's go prime she'll need to",992900,998200,"SPEAKER_08"
1002280,1009800,"be safe to work on so we'll want something strong to keep her upright as well and lots of tools",1001400,1013900,"SPEAKER_08"
1009800,1015160,"now go home and get some and I think we'll need a bucket and a shovel or I'll come with you",1001400,1013900,"SPEAKER_08"
1015160,1021320,"help you choose yes you go I'll stay and keep guard in case the owner comes back",1014300,1016000,"SPEAKER_08"
1045480,1053480,"sleep well man the top cells what",1017300,1017300,"SPEAKER_08"
1045480,1053480,"sleep well man the top cells what",1017300,1021500,"SPEAKER_13"
