start	end	text
0	20560	here they are for one and all the moments are about to come on and sit down here with
20560	32800	me here for you on your TV they are the moments they are the moments so come with me give me your hand
32800	41360	I'll take you up to a moment land you can fly just like a bird sing the best song ever there
41360	56800	were the moments there were the moments there were the moments
72240	87400	these days moman and snuffkin were together even more than ever winter would
87400	94280	hit moman valley any day now and then they would have to park moman to go into
94280	105720	the hibernation and snuffkin to be for his trip so you look sad for something upset you
105720	110640	where are you off to moman to the lonely mountains how come you two are always
110640	115840	stealing off somewhere we're not stealing off we're just going for a walk to
115840	120320	lonely mountains just the two of you you're even worse than usual never taking any
120320	127040	of us with you I hadn't noticed are we really doing that I'm not sure maybe we are no
127040	133280	maybe's about it let me tell you it's very rude but we were just off for a walk I know well
133280	138160	then why are you going it'll start snowing any day now little night and then we won't be able
138160	143440	to go anywhere will we we wanted a last look at moman valley from above before that happens a
143440	149120	likely story but it's true I'm off very soon and I wanted to see it all to give me a picture to
149120	154240	remember while I'm walking did you hear that snorke main sniff come here
158480	163520	when do you mind if we come along with you of course not you see we thought you were
163520	168640	probably plotting something secret and weren't letting any of us in on it oh come on we don't
168640	173440	have any secrets from you it's just that well you know what I mean snuffkin will be leaving for
173440	176720	months months very soon never mind off we go
185680	191360	it would be fun to see it all from here in the middle of winter all white must be very beautiful
191360	196480	oh I don't think so with everything white and clean in summer it's very beautiful
197040	202640	well I'm coming back here in winter to see it for myself you can't do that you're hibernating
202640	208480	well maybe not I thought that this year I try to keep awake all winter you mean just like
208480	216000	moman and I did last year yes you could never do it what about you are you hibernating I'm not all
216000	223440	that mad about the snow and the cold and dark so I'll hibernate I'm very happy to be going home I've
223440	228720	seen it all now well we didn't ask you to come along little night well I don't we go take a look
228720	233760	at that beautiful lake against sniff the one with the golden fish oh no that's too far away
234400	239600	you're just afraid of the forest of witches aren't you sniff not at all I'm not a bit scared
240400	252000	hey look who's that nobody I know wonder what she's doing here sitting down don't say such silly thing
252000	269920	sniff hello there right there what are you doing up there I'm waiting for what for grandma out here all
269920	275360	alone well grandma told me there was a big rock by the path leading up to lonely mountains into
275360	284240	wait there but there are other rocks by the path you know are there but this is the only one I've
284240	289600	seen so far your grandma must be crazy or something making you wait in a place like this no our
289600	295040	house is in the forest and she's coming to show me the way in the forest you mean the forest of
295040	302240	witches yes I suppose so it's not very far from here that's it definitely how long have you been
302240	308400	waiting here oh about an hour one hour she's not very punctual perhaps I was early
309040	318640	yes she was an hour early oh it's grandma welcome Alicia
323280	328080	where do you find all these children my dear I was waiting here all alone and then they came
328080	335280	along the path and wanted to help very kind of you I'm sure well don't just stand there my dear
335280	345680	let's go come along excuse me excuse me ma'am but don't you live in the forest
347360	354800	and did I do in what part of it let me see it must be about right in the middle interesting the
354800	360160	only place I know of is an old house where they say witches used to live you don't say I'm
360160	364400	mad well what do you know what will he think I'm next
364400	366400	oh
377600	385840	her grandmother is a witch I think but surely they don't exist of course not like dragons don't exist
387360	393760	well she doesn't seem like a nasty one how can you tell moment I don't think that nice girl would
393760	402560	have a bad one for grandma perhaps not so tell me what makes you think she's a witch yeah who else
402560	408000	could live in that forest papa I can't think of anyone right now but some people would like it
408000	413600	yes I suppose you're right I hope you are well I've lived in movement valley for a long time
413600	417280	and I'm never once seen a witch so they don't exist
421520	425840	yeah oh stop working now snork dinner's ready I'm coming
431040	437200	no wonder it's so light look the moon is up snork maiden I think it would be very wise for you
437200	442880	to stay with the movements from tonight on why on earth do you think that snork I've decided not
442880	449040	to hibernate this winter why ever not I want to complete the blueprint for my new flying ship
