"start_text","end","text","start_sub","stop","speaker"
21000,29000,"Here for you are your TV, there are the movements, there are the movements.",13000,25700,"SPEAKER_13"
29000,36000,"So come with me, give me your hand, I'll take you up to a movement land.",26900,28400,"SPEAKER_13"
36000,46000,"You can fly just like a bird, sing that song ever, there were the movements, there were the movements,",29800,42700,"SPEAKER_13"
46000,58000,"there were the movements, there were the movements, there were the movements, there were the movements.",44200,54400,"SPEAKER_11"
76000,106000,"La-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la",73800,80000,"SPEAKER_00"
106000,136000,"Snort Maiden is running as if the groke is chasing her. I don't think I've ever seen her run so fast. I wonder what's the matter? Perhaps something terrible has happened.",85700,85700,"SPEAKER_00"
106000,136000,"Snort Maiden is running as if the groke is chasing her. I don't think I've ever seen her run so fast. I wonder what's the matter? Perhaps something terrible has happened.",85700,91700,"SPEAKER_00"
136000,166000,"Now come down and tell us what's wrong. My brother's on the cliff and then he's about to jump off. What snort? Are you sure? He says nothing will prevent him doing it. Oh, police, you must stop him, moment. Did you say that you wanted me to help you with something snort Maiden? Yes, I want you to stop snort jumping off the cell side of the cliff. Oh dear, I never thought he was the type. He says it's a test flight.",134700,134700,"SPEAKER_04"
166000,196000,"Oh. Now what? A test flight, did you say? Snort Maiden, do you mean that he's finally finished building his flying ship? No, only the blueprint. At least I think that's all. He doesn't tell me. Well, that's a start. He built a small model of the flying ship's wings and they don't look strong enough to carry anyone. And now he's going to try them out himself to see if they'll work. And I know they won't. They'll break, you know. Now wait a minute, Snort Maiden. Slow down and let me think.",164000,166000,"SPEAKER_02"
196000,226000,"He's made the wings from the blueprint of the flying ship. Well, his plans are always very accurate. Oh, Papa, you've got to stop him. The cell side, Papa. Yes, I know the highest and steepest one of all. Oh, moment, Papa, there must be something we can do. Yes, I'm sure there is. Right. Hurry, everybody. There's no time to lose. Come on. Oh, thank you, moment, Papa.",192600,201800,"SPEAKER_06"
226000,233000,"…No! Go!",219100,220900,"SPEAKER_05"
256000,273000,"A snork? Wait! Wait! Please! Stop snork, don't do it! Why have you brought everybody",252100,256400,"SPEAKER_05"
273000,278000,"here, snork maiden? They've come to beg you not to do it. You're too young and brilliant",271700,274100,"SPEAKER_10"
278000,284000,"for such a tragic end. Thank the bubble we were in time. As a matter of fact, you weren't.",274900,281300,"SPEAKER_02"
284000,291000,"Oh, really? It looks very dangerous to me, snork. Well, it's not at all moving, Papa. I made these wings",283900,284800,"SPEAKER_02"
291000,3e+05,"myself. They're perfectly balanced. Well, yes, I'm sure they are. The blueprints are detailed and precise. They're quite safe.",285000,295100,"SPEAKER_10"
3e+05,305000,"Tell me, snork. Why did you stop on the edge like that after running down the slope?",3e+05,300900,"SPEAKER_09"
305000,312000,"I was measuring the right length from my approach run. Don't do it, snork. I don't want to lose my only brother.",301600,308100,"SPEAKER_09"
312000,320000,"Don't make such a fuss, snork maiden. Do you really think it's safe? Of course it is. You don't see birds falling out of the sky, do you?",311800,318000,"SPEAKER_10"
320000,326000,"Well, at least do your test flight just above the ground so that if something happens to go wrong, you'll hurt yourself.",318000,328000,"SPEAKER_06"
326000,334000,"I've already done that from the roof of our house and it worked beautifully. Did you see him? No, I didn't see anything.",325100,325600,"SPEAKER_10"
334000,340000,"Of course you didn't. Do you think I let a wimpy little sister watch me? What's that supposed to mean, snork?",331100,337100,"SPEAKER_10"
340000,346000,"Just that I don't want you sticking your big nose into my affairs all the time. I don't like it, and there's nothing to do with you.",337700,337700,"SPEAKER_09"
340000,346000,"Just that I don't want you sticking your big nose into my affairs all the time. I don't like it, and there's nothing to do with you.",337700,345900,"SPEAKER_10"
346000,352000,"Yours is just as big and I don't want to lose you. Don't go on about losing me. Why not?",337700,337700,"SPEAKER_09"
346000,352000,"Yours is just as big and I don't want to lose you. Don't go on about losing me. Why not?",337700,345900,"SPEAKER_10"
352000,354000,"Come on now, you two. Stop it.",350800,351600,"SPEAKER_02"
354000,360000,"Hey! Oops! That was close. Snork maiden, I don't think your brother is going to be stopped.",353700,355300,"SPEAKER_02"
360000,364000,"Oh dear, oh dear. You're very brave, snork.",354600,359900,"SPEAKER_06"
364000,374000,"Hmm, right. Here we go. This time it'll be a perfect takeoff.",360500,363600,"SPEAKER_02"
374000,378000,"It's a long way. Oh look, isn't that snuffkin down there?",370600,372700,"SPEAKER_10"
378000,381000,"Where? Where is he? Where is snuffkin?",378000,383000,"SPEAKER_03"
381000,384000,"You can't see him from there, Sniff. You'll have to come here.",378000,383000,"SPEAKER_03"
384000,390000,"Is it really snuffkin? Yes, I'm sure it is. Snuffkin!",384000,384100,"SPEAKER_03"
390000,394000,"Yeah! Baby, here you...",386000,389700,"SPEAKER_02"
394000,396000,"No, I don't think so.",393800,395700,"SPEAKER_02"
396000,4e+05,"All right, here goes! Good luck, snork!",395900,399400,"SPEAKER_02"
4e+05,402000,"All right.",395900,399400,"SPEAKER_02"
417000,419000,"He's flying!",416900,418700,"SPEAKER_02"
430000,440000,"It's the snork!",428900,429400,"SPEAKER_05"
461000,464000,"Look at him flying.",439300,440200,"SPEAKER_08"
464000,470000,"It's all right, snork maiden. Your brother's doing fine. Come and see.",463600,463600,"SPEAKER_06"
470000,474000,"He's done it! He's done it!",464200,468200,"SPEAKER_06"
474000,478000,"Wow, I know he could do it. Well, so did I, to be honest.",473200,473300,"SPEAKER_06"
478000,482000,"Huh? Yeah, snork!",477000,479300,"SPEAKER_02"
482000,488000,"Hello!",480000,481400,"SPEAKER_02"
488000,492000,"Hi! How are you doing?",487300,487300,"SPEAKER_05"
492000,496000,"It's great that this test flight is a great success.",489700,489700,"SPEAKER_05"
492000,496000,"It's great that this test flight is a great success.",489700,496200,"SPEAKER_10"
512000,522000,"Okay, just as I thought he can't fly and wave at the same time.",489700,489700,"SPEAKER_05"
512000,522000,"Okay, just as I thought he can't fly and wave at the same time.",489700,496200,"SPEAKER_10"
522000,526000,"Interesting. That was mean, stinky.",521800,523300,"SPEAKER_15"
526000,529000,"If I could get him to wave with both arms, you'd probably fall.",525500,528700,"SPEAKER_15"
529000,534000,"Look, we don't want you here, stinky. Why don't you just go away?",528700,533100,"SPEAKER_08"
534000,537000,"I can find lots to do with that machine.",533700,536300,"SPEAKER_15"
537000,540000,"If you won't go away, I will.",536800,538600,"SPEAKER_08"
540000,544000,"Well, go on then, Snuffkin. What do I care what you do?",536800,538600,"SPEAKER_08"
544000,548000,"Hmm, that would be perfect for robberies.",540600,547400,"SPEAKER_15"
548000,552000,"The wind seems to be taking him out to sea.",540600,547400,"SPEAKER_15"
552000,554000,"Why doesn't he turn around and come back?",548700,551100,"SPEAKER_02"
554000,557000,"Turning in that thing might not be so easy.",552100,554100,"SPEAKER_02"
557000,559000,"What? Do you mean he can't?",554700,556900,"SPEAKER_06"
