"start_text","end","text","start_sub","stop","speaker"
21000,29000,"Here for you on your TV, they are the movements, they are the movements.",12900,25700,"SPEAKER_14"
29000,36000,"So come with me, give me your hand, I'll take you up to a moment land.",26800,28300,"SPEAKER_14"
36000,41000,"You can fly just like a bird, sing that song ever.",29700,42000,"SPEAKER_14"
41000,46000,"There were the movements, there were the movements,",29700,42000,"SPEAKER_14"
46000,59000,"there were the movements, there were the movements, there were the movements.",44200,55000,"SPEAKER_13"
59000,75000,"Ba, ba, ba, ba, ba, ba.",55200,57400,"SPEAKER_13"
75000,80000,"Woman and snorkemaiden were still fast asleep in the row and tree.",74900,79200,"SPEAKER_01"
80000,88000,"The sun was high in the sky and the floating theater had floated away a long time ago.",74900,79200,"SPEAKER_01"
88000,99000,"Oh, oh, oh, I feel so good, I really slept like a log all night.",80200,85700,"SPEAKER_01"
99000,107000,"It's so lovely to be out in the fresh air with movement and a tree in blue.",91500,96500,"SPEAKER_04"
107000,114000,"No, no, the house is gone, I mean the theater is gone.",99800,103900,"SPEAKER_04"
114000,120000,"Woman, wake up, there's been a catastrophe, wake up.",114000,114000,"SPEAKER_04"
120000,126000,"What's a catastrophe? Look down, the theaters floated off during the night.",115900,121600,"SPEAKER_04"
126000,130000,"I don't believe it.",123500,125700,"SPEAKER_04"
138000,143000,"It has, it's gone, I can't see it anywhere.",130800,131100,"SPEAKER_04"
143000,146000,"It must be far away by now.",139100,142000,"SPEAKER_04"
146000,150000,"Woman, your father's walking stick.",143600,145700,"SPEAKER_04"
150000,156000,"It must have got loose in the middle of the night while everybody was asleep.",146200,148500,"SPEAKER_04"
159000,162000,"Crying won't solve the problems, don't made him.",155400,158700,"SPEAKER_04"
162000,168000,"But we're stranded in the row and tree with water all around us.",159900,167800,"SPEAKER_04"
174000,181000,"Hmm.",168600,169000,"SPEAKER_04"
181000,186000,"Huh?",179400,180100,"SPEAKER_08"
186000,189000,"Huh?",185000,186500,"SPEAKER_08"
189000,193000,"Oh no, we're in a drift, we're floating away!",189000,189400,"SPEAKER_02"
193000,196000,"We're drifting away!",189500,194700,"SPEAKER_02"
193000,196000,"We're drifting away!",189500,190900,"SPEAKER_08"
197000,201000,"Oh, what are we going to do?",189500,194700,"SPEAKER_02"
197000,201000,"Oh, what are we going to do?",189500,190900,"SPEAKER_08"
201000,206020,"Bull men and snot maintenance are still up in that beautiful Rowan tree. That's just typical",199000,200700,"SPEAKER_11"
206120,209000,"Where is it and how can we have drifted so far away?",206000,206200,"SPEAKER_06"
209720,215200,"Listen last night didn't you I told you never to do that in the iterate brings bad look",209500,216000,"SPEAKER_06"
231000,233000,"Oh! Little Maya!",230600,233700,"SPEAKER_12"
233000,235000,"Oh my God!",230600,233700,"SPEAKER_12"
235000,237000,"Oh, no!",230600,233700,"SPEAKER_12"
237000,239000,"Oh, no!",236200,238000,"SPEAKER_12"
239000,241000,"Oh, dear!",238000,240300,"SPEAKER_03"
