start	end	text
0	20500	here they are for one and all the movements are about to come on and sit down here with
20500	29880	me therefore you are your TV they are the movements they are the movements so
29880	36720	come with me give me your hand I'll take you up to a moment land you can fly
36720	44600	just like a bird sing that song ever there were the movements there were the
44600	59240	movements there were the movements there were the movements
65240	70880	all over moving down bits of paper were fluttering down
75160	79400	they were even falling over the lake
83160	88440	what's this oh litter there's some writing on that piece of paper I think it's a
88440	95800	message hmm let's see moment theater presents written by moment papa
95800	101480	moment papa the last children of moment Valley starring moment papa
101480	107720	moment mama and sniff and introducing Emma Emma I'm sure that's my ad she works
107720	117040	in a theater admission fee anything edible they're putting on a play so they can't
117040	124280	be lost I haven't seen a play since I was a kid it was wonderful the best play
124280	132160	ever all about a princess she fell asleep in a rose bush she was so lovely I've
132160	137520	got to see that one again but who will guard my prisoners I wonder I'm a good
137520	141720	idea officer you could take the three of us with you to the theater to see the play
141720	147560	good idea we love the theater so we won't try to run away officer I promise
148120	153880	not possible I won't let you out of this jail until you write out it's forbidden to burn
153880	160600	signs five thousand times each that's the punishment for vandals well in that case you won't be
160600	168680	able to see the play who cares although yes I must see it I must go so you'll take us with you
168680	174520	no you stay right here well then you can't go either officer right you're upsetting me
175400	182680	no no this isn't good enough it's not true drama please woman papa I don't want to be just a
182680	188680	lion's ugly behind but sniff I did give you another part I don't want to be a baby either
188680	193560	and she said you wanted parts with that lines it could you do the dusting a bit later Emma please
194520	199480	he's script should be ready now we have to start practicing for the opening night tomorrow morning
200120	205560	don't worry Emma it's coming along I'm only half done I shall never get ready in time
205560	210120	moment mama you're right to worry for the curtain will rise tomorrow no matter what
212520	217720	women papa will remember to give Emma lots and lots of lines she's really looking forward to
217720	225000	her first performance all right now leave me I must be left alone to concentrate the writer needs
225000	230840	peace and quiet there are some things I don't like about this script I'll discuss it with you
230840	236680	after the performance sniff after if it's a story about lost children why do you have to have a
236680	243560	stupid lion I'm too good an actor to be cast as a lion keep them out of my hair when indeed he's
243560	249640	giving me a headache you come with me sniff we'll practice our parts this could be a wonderful
249640	256040	play if you'd only skip the lions behind I've heard enough about this behind remember we have
256040	262040	a lion's head too dying to show his acting skills on the stage this is my play and I refuse
262040	272120	to write out the lion's part I refuse here's the key I want you to keep a keen eye on them until
272120	278760	I come back do you understand me cousin are they very dangerous yes they certainly are they bite
278760	284600	if you let them out okay we certainly wouldn't bite anyone obviously I've had enough of your
284600	290440	lies don't listen to my dear cousin they do well then now I'm up to the theater to see the play
291320	299320	take good care of them while I'm gone
299880	315160	excuse me you seem to be a very good knitter oh thank you nobody ever said that to me before I enjoy it
315160	321800	what are you making I'm not sure I don't really know nothing in particular it's just that
321800	328680	knitting is so reassuring somehow nothing bad can happen while you knit can it trouble is I
328680	336200	always seem to forget to decide what to make before I start but it feels nice and warm and I
336200	344280	love the color couldn't you make socks it's a very nice sock color socks yes it's very very
344280	353960	cold in here oh yes that's a very good idea listen if I knitted each one of you a pair of warm
354040	361480	socks would you really put them on of course that will be nice I'm almost freezing to death in here
361480	368920	it's so very very cold is it really that cold yes my teeth are chattering so I could hardly talk
368920	377960	honestly oh dear oh dear what should I do maybe some steaming hot black currant juice would help
377960	383400	to warm us up a little possibly although it might already be too late
400680	406120	my cousin would be very angry with me if he knew but I think but you think why I think I'll
406120	417960	let you out so that we can all be nice and warm indoors really don't cry now baby there's a good
417960	433000	boy don't cry honey that's enough baby oh woman mama you need to show much more immersion it's
